,codes,country,year_1st,year_2nd,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,years_const,years_1st_const,change_1st_2nd_adj_tfidf,change_1st_2nd_adj_lda,change_1st_2nd_adj_use,change_1st_curr_adj_allyears_tfidf,change_1st_curr_adj_allyears_lda,change_1st_curr_adj_allyears_use
36,TCD,Comoros,1996,2001.0,0.62037304,0.62037304,0.111566960811615,0.111566960811615,0.12190675634187309,0.12190675634187309,26,5.0,0.124074608,0.022313392162323,0.024381351268374617,0.02386050153846154,0.004291036954292885,0.00468872139776435
37,CHL,Congo,1963,1979.0,0.568095,0.6301108,0.2875914573669433,0.3819807767868042,0.03228650011629097,0.058956864413594046,59,16.0,0.0355059375,0.017974466085433956,0.002017906257268186,0.01067984406779661,0.0064742504540136305,0.0009992688883660008
38,CHN,Costa Rica,1848,1871.0,0.6806353,0.28789425,0.068598985671997,0.3637046813964844,0.023207804200843563,0.09255042758723242,174,23.0,0.029592839130434784,0.002982564594434652,0.0010090349652540679,0.0016545646551724138,0.0020902567896349676,0.0005318990091220254
39,COL,Croatia,1991,,,,,,,,31,31.0,,,,,,
40,COM,Cuba,1940,1959.0,0.4191589,0.6378528800000001,0.0389824099838733,0.4392918944358825,0.07420790108687159,0.16069391409183897,82,19.0,0.022060994736842105,0.0020517057886249106,0.0039056790045721886,0.007778693658536586,0.0053572182248278356,0.001959681879168768
41,COG,Cyprus,1960,,,,,,,,62,62.0,,,,,,
42,CRI,Czech Republic,1993,,,,,,,,29,29.0,,,,,,
43,HRV,Democratic Republic of the Congo,1964,1967.0,0.968144733,0.39530889999999996,0.1853269785642624,0.2487747818231583,0.13045934251821556,0.013499296129334426,58,3.0,0.322714911,0.0617756595214208,0.043486447506071856,0.006815670689655172,0.00428922037626135,0.00023274648498852458
44,CUB,Denmark,1866,1953.0,0.92321932,0.92321932,0.3460988104343414,0.3460988104343414,0.0685756049556584,0.0685756049556584,156,87.0,0.01061171632183908,0.00397814724637174,0.0007882253443179127,0.005918072564102564,0.002218582118168855,0.0004395872112542205
45,CYP,Djibouti,1977,1992.0,0.6185769999999999,0.6185769999999999,0.1945454329252243,0.1945454329252243,0.2485869338323755,0.2485869338323755,45,15.0,0.04123846666666666,0.012969695528348287,0.0165724622554917,0.013746155555555554,0.004323231842782762,0.0055241540851639
46,CZE,Dominica,1978,,,,,,,,44,44.0,,,,,,
47,CSK,Dominican Republic,1821,1858.0,0.91961041,0.897789136,0.1282251477241516,0.5142759084701537,0.15414830330685525,0.2460374263798787,201,37.0,0.024854335405405405,0.0034655445330851785,0.004166170359644736,0.004466612616915422,0.002558586609304247,0.0012240667979098443
48,COD,East Timor,2002,,,,,,,,20,20.0,,,,,,
49,DNK,Ecuador,1830,1869.0,0.92015543,0.5374638,0.2644405961036682,0.6114012598991393,0.1051388814595745,0.2965751181906755,192,39.0,0.023593728974358973,0.0067805281052222615,0.002695868755373705,0.0027992906250000004,0.003184381561974684,0.0015446620739097683
50,DJI,Egypt,1923,1956.0,0.67867064,0.7908382,0.3006448745727539,0.6328927278518678,0.07823799382712315,0.16491743891009336,99,33.0,0.02056577696969697,0.009110450744628906,0.002370848297791611,0.007988264646464648,0.006392855836887553,0.0016658327162635694
51,DMA,El Salvador,1824,1841.0,0.59122336,0.7057173299999999,0.1453681141138076,0.2613083720207214,0.08766076062457995,0.21277711235544505,198,17.0,0.034777844705882355,0.00855106553610633,0.005156515330857644,0.003564228939393939,0.001319739252629906,0.0010746318805830558
52,DOM,Equatorial Guinea,1968,1973.0,0.37605345,0.4395766,0.226215049624443,0.3100377321243286,0.058405414536913836,0.05813516423138598,54,5.0,0.07521069,0.0452430099248886,0.011681082907382767,0.008140307407407408,0.005741439483783863,0.0010765771153960367
53,TLS,Eritrea,1997,,,,,,,,25,25.0,,,,,,
54,ECU,Estonia,1920,1937.0,0.942983896,0.98426032,0.1908466070890426,0.3795695304870606,0.20961234394703698,0.13966905649871086,102,17.0,0.05546964094117647,0.011226271005237801,0.012330137879237469,0.009649610980392156,0.0037212699067358883,0.0013693044754775575
55,EGY,Ethiopia,1931,1955.0,0.09106610000000004,0.80230066,0.0573900192975997,0.6184508800506592,0.2737777946359312,0.3380186079292319,91,24.0,0.003794420833333335,0.002391250804066654,0.011407408109830467,0.008816490769230769,0.006796163517040211,0.003714490197024526
56,SLV,Fiji,1970,1990.0,0.10144200000000003,0.18857294000000002,0.056789681315422,0.4969372153282166,0.006937607520058453,0.022008609707786397,52,20.0,0.005072100000000001,0.0028394840657711,0.00034688037600292263,0.003626402692307693,0.009556484910158012,0.00042324249438050767
57,GNQ,Finland,1919,1999.0,0.57189354,0.57189354,0.4485186934471131,0.4485186934471131,0.07969810884841044,0.07969810884841044,103,80.0,0.007148669250000001,0.005606483668088914,0.0009962263606051306,0.005552364466019418,0.0043545504218166315,0.000773768047071946
58,ERI,France,1791,1793.0,0.70462996,0.94963021,0.1282314360141754,0.625627875328064,0.21072274013545755,0.15066777446351287,231,2.0,0.35231498,0.0641157180070877,0.10536137006772878,0.00411095329004329,0.0027083457806409694,0.0006522414478939951
59,EST,Gabon,1961,1975.0,0.4237776,0.4893721,0.0944358184933662,0.2307873964309692,0.010045618370294829,0.04982322841619924,61,14.0,0.03026982857142857,0.006745415606669014,0.0007175441693067734,0.00802249344262295,0.0037833999414912983,0.000816774236331135
60,ETH,Gambia,1970,1996.0,0.1200658,0.1200658,0.3556037545204162,0.3556037545204162,0.048659747516943574,0.048659747516943574,52,26.0,0.004617915384615385,0.01367706748155447,0.001871528750651676,0.0023089576923076924,0.006838533740777235,0.000935764375325838
61,FJI,Georgia,1995,,,,,,,,27,27.0,,,,,,
62,FIN,Germany,1871,1919.0,0.35029745,0.35029745,0.3045481443405151,0.3045481443405151,0.03364362066196702,0.03364362066196702,151,48.0,0.007297863541666667,0.006344753007094064,0.0007009087637909797,0.002319850662251656,0.0020168751280828815,0.00022280543484746372
63,FRA,Ghana,1954,1957.0,0.54064676,0.92950891,0.0006208745762705,0.5647542476654053,0.029049411784315637,0.18310929656514563,68,3.0,0.18021558666666668,0.00020695819209016664,0.009683137261438546,0.013669248676470588,0.008305209524491253,0.0026927837730168474
64,GAB,Great Colombia,1821,,,,,,,,201,201.0,,,,,,
65,GMB,Greece,1952,1968.0,0.3637351,0.48288034999999996,0.1061379760503768,0.2044952809810638,0.039663475700492,0.09285140850576656,70,16.0,0.02273344375,0.00663362350314855,0.00247896723128075,0.0068982907142857135,0.0029213611568723397,0.0013264486929395224
66,GEO,Grenada,1974,,,,,,,,48,48.0,,,,,,
67,DEU-DR,Guatemala,1879,1945.0,0.60956433,0.6386499,0.2899093627929687,0.3608724474906921,0.15380799252370547,0.21520880825033117,143,66.0,0.009235823181818181,0.004392566102923768,0.0023304241291470526,0.004466083216783216,0.0025235835488859586,0.001504956701051267
68,DEU,Guinea,1958,1982.0,0.54287258,0.7793272099999999,0.4862775802612304,0.4931289553642273,0.1870910690142915,0.3118616537266323,64,24.0,0.022619690833333334,0.020261565844217934,0.007795461208928813,0.012176987656249999,0.0077051399275660515,0.00487283833947863
69,DEU-FR,Guinea Bissau,1973,1984.0,0.56238097,0.31040287,0.1430685967206955,0.2806123793125153,0.18064799616877902,0.22168167545358886,49,11.0,0.051125542727272724,0.013006236065517773,0.01642254510625264,0.006334752448979592,0.005726783251275823,0.004524115825583446
70,DEU-PRU,Guyana,1966,1970.0,0.08149784999999998,0.08384097000000001,0.045254535973072,0.0505326464772224,0.016569125987919597,0.03330747769478637,56,4.0,0.020374462499999996,0.011313633993268,0.004142281496979899,0.001497160178571429,0.0009023686870932571,0.0005947763874068994
71,GHA,Haiti,1801,1805.0,0.95103436,0.96477796,0.3553767204284668,0.4150057435035705,0.10950395139256308,0.21983495894891036,221,4.0,0.23775859,0.0888441801071167,0.02737598784814077,0.00436551113122172,0.0018778540430025815,0.0009947283210357935
72,GCOL,Honduras,1839,1848.0,0.5500492,0.80307397,0.0348126366734504,0.4863982200622558,0.025049385323883233,0.16405236472899976,183,9.0,0.06111657777777778,0.003868070741494489,0.002783265035987026,0.004388382349726776,0.002657913770831999,0.0008964610094480861
73,GRC,Hungary,1919,1920.0,0.907096975,0.911057904,0.6043169498443604,0.4907985925674438,0.21583030060393982,0.18755621869294137,103,1.0,0.907096975,0.6043169498443604,0.21583030060393982,0.00884522236893204,0.004765034879295571,0.001820934162067392
74,GRD,Iceland,1874,1920.0,0.922653206,0.11145126999999999,0.1807017922401428,0.2774552702903747,0.03388289082381757,0.07845416700177199,148,46.0,0.02005767839130435,0.003928299831307452,0.0007365845831264689,0.0007530491216216215,0.0018746977722322615,0.0005300957229849458
75,GTM,India,1949,,,,,,,,73,73.0,,,,,,
76,GIN,Indonesia,1945,2002.0,0.71704903,0.71704903,0.4605776965618133,0.4605776965618133,0.19458490456913602,0.19458490456913602,77,57.0,0.012579807543859648,0.008080310465996724,0.0034137702555988776,0.009312325064935064,0.0059815285267767965,0.002527076682716052
77,GNB,Iran,1906,1979.0,0.962688424,0.962688424,0.5473197102546692,0.5473197102546692,0.30092661054330305,0.30092661054330305,116,73.0,0.013187512657534246,0.007497530277461222,0.004122282336209631,0.008299038137931035,0.00471827336426439,0.0025941949184767506
78,GUY,Iraq,1925,2005.0,0.37264090000000005,0.37264090000000005,0.5381155610084534,0.5381155610084534,0.08871265424481345,0.08871265424481345,97,80.0,0.004658011250000001,0.006726444512605667,0.0011089081780601682,0.0038416587628865985,0.005547583103179932,0.0009145634458228191
79,HTI,Ireland,1922,1937.0,0.19384120000000005,0.19384120000000005,0.2221234440803528,0.2221234440803528,0.06430215029366704,0.06430215029366704,100,15.0,0.01292274666666667,0.014808229605356854,0.004286810019577802,0.0019384120000000005,0.002221234440803528,0.0006430215029366704
80,HND,Israel,1958,,,,,,,,64,64.0,,,,,,
81,HUN,Italy,1848,1947.0,0.6892141700000001,0.6892141700000001,0.4112881720066071,0.4112881720066071,0.16672443676035054,0.16672443676035054,174,99.0,0.006961759292929293,0.004154425979864719,0.0016840852198015206,0.003961000977011494,0.0023637251264747535,0.0009581864181629342
82,ISL,Jamaica,1962,,,,,,,,60,60.0,,,,,,
83,IND,Japan,1889,1946.0,0.5245953999999999,0.5245953999999999,0.1748657375574112,0.1748657375574112,0.11767798307345256,0.11767798307345256,133,57.0,0.009203428070175438,0.0030678199571475646,0.0020645260188325012,0.003944326315789473,0.0013147799816346705,0.000884796865213929
84,IDN,Jordan,1946,1952.0,0.41410440000000004,0.41410440000000004,0.086361601948738,0.086361601948738,0.052688430627105154,0.052688430627105154,76,6.0,0.0690174,0.014393600324789667,0.008781405104517526,0.005448742105263159,0.0011363368677465527,0.0006932688240408573
85,IRN,Kazakhstan,1995,,,,,,,,27,27.0,,,,,,
86,IRQ,Kenya,1963,2010.0,0.28535383999999997,0.28535383999999997,0.6580851674079895,0.6580851674079895,0.0406062309191334,0.0406062309191334,59,47.0,0.006071358297872339,0.014001812072510415,0.0008639623599815617,0.004836505762711864,0.011153985888271009,0.0006882412020192102
87,IRL,Kiribati,1979,,,,,,,,43,43.0,,,,,,
88,ISR,Kosovo,2008,,,,,,,,14,14.0,,,,,,
89,ITA,Kuwait,1962,,,,,,,,60,60.0,,,,,,
90,JAM,Kyrgyz,1993,2007.0,0.6396885999999999,0.5803682800000001,0.0695954039692878,0.1055889725685119,0.04624437608064402,0.03777720226497161,29,14.0,0.04569204285714285,0.004971100283520558,0.0033031697200460015,0.02001269931034483,0.003640999054086617,0.0013026621470679865
91,JPN,Laos,1947,1991.0,0.976940108,0.976940108,0.5282382965087892,0.5282382965087892,0.16342441860642964,0.16342441860642964,75,44.0,0.022203184272727272,0.012005415829745208,0.00371419133196431,0.013025868106666666,0.007043177286783856,0.0021789922480857284
92,JOR,Latvia,1919,1922.0,0.94884168,0.7937563400000001,0.4881237149238586,0.4892966151237487,0.26251183466186234,0.2958207156903023,103,3.0,0.31628056,0.16270790497461954,0.08750394488728745,0.007706372233009709,0.004750452574016978,0.0028720457834009935
93,KAZ,Lebanon,1926,,,,,,,,96,96.0,,,,,,
94,KEN,Lesotho,1966,1983.0,0.11407420000000001,0.060500600000000015,0.0547723621129989,0.0202589407563209,0.18923828353610994,0.004723398218228758,56,17.0,0.00671024705882353,0.0032219036537058177,0.011131663737418232,0.0010803678571428574,0.0003617667992200161,8.434639675408497e-05
95,KIR,Liberia,1847,1986.0,0.32672009999999996,0.32672009999999996,0.314330518245697,0.314330518245697,0.12101164189521729,0.12101164189521729,175,139.0,0.002350504316546762,0.0022613706348611298,0.0008705873517641532,0.0018669719999999997,0.0017961743899754115,0.0006914950965440989
96,KOS,Libya,1951,2011.0,0.63173658,0.63173658,0.5178095102310182,0.5178095102310182,0.18744182560767364,0.18744182560767364,71,60.0,0.010528943,0.008630158503850302,0.0031240304267945605,0.008897698309859155,0.007293091693394622,0.002640025712784136
97,KWT,Liechtenstein,1818,1921.0,0.9026808,0.9026808,0.4481999874114991,0.4481999874114991,0.3070696312706366,0.3070696312706366,204,103.0,0.008763891262135922,0.0043514561884611565,0.002981258556025598,0.0044249058823529405,0.002197058761821074,0.0015052432905423361
98,KGZ,Lithuania,1922,1928.0,0.04367113,0.07049835000000004,0.0678935796022415,0.1382596641778946,0.027023687184543177,0.11356243062991966,100,6.0,0.007278521666666667,0.011315596600373583,0.0045039478640905295,0.0007049835000000005,0.001382596641778946,0.0011356243062991967
99,LAO,Luxembourg,1868,,,,,,,,154,154.0,,,,,,
100,LVA,Macedonia,1991,,,,,,,,31,31.0,,,,,,
101,LBN,Madagascar,1975,1992.0,0.65314624,0.6588710799999999,0.1157841607928276,0.2514854073524475,0.03079593473387976,0.07296439477836203,47,17.0,0.038420367058823526,0.0068108329878133885,0.0018115255725811624,0.014018533617021276,0.005350753347924415,0.0015524339314545112
102,LSO,Malawi,1964,1966.0,0.16220415,0.18620610000000004,0.1178991049528122,0.4731555581092834,0.06391370890433878,0.051143768629027586,58,2.0,0.081102075,0.0589495524764061,0.03195685445216939,0.0032104500000000005,0.008157854450160058,0.0008817891142935791
103,LBR,Malaysia,1957,,,,,,,,65,65.0,,,,,,
104,LBY,Maldives,1998,2008.0,0.02017329999999995,0.02017329999999995,0.0774764418601989,0.0774764418601989,0.06621285386104359,0.06621285386104359,24,10.0,0.002017329999999995,0.00774764418601989,0.006621285386104359,0.0008405541666666646,0.0032281850775082877,0.002758868910876816
105,LIE,Mali,1969,1974.0,0.3211446,0.5562867,0.0246632546186447,0.0755572766065597,0.04717669580306638,0.10818869127587194,53,5.0,0.06422892,0.00493265092372894,0.009435339160613277,0.010495975471698114,0.001425608992576598,0.0020412960618089045
106,LTU,Malta,1964,,,,,,,,58,58.0,,,,,,
107,LUX,Marshall Islands,1979,,,,,,,,43,43.0,,,,,,
108,MKD,Mauritania,1961,1978.0,0.6319351,0.58581632,0.1780132949352264,0.3168132305145263,0.046834853349241645,0.09032801352985143,61,17.0,0.03717265294117647,0.010471370290307437,0.0027549913734848026,0.009603546229508196,0.005193659516631579,0.0014807871070467446
109,MDG,Mauritius,1968,,,,,,,,54,54.0,,,,,,
110,MWI,Mexico,1824,1836.0,0.54731816,0.5482378299999999,0.2520315051078796,0.2612626552581787,0.07026296421396283,0.10413019017664049,198,12.0,0.04560984666666667,0.021002625425656632,0.005855247017830236,0.002768877929292929,0.0013195083598897914,0.0005259100513971742
111,MYS,Micronesia,1981,,,,,,,,41,41.0,,,,,,
112,MDV,Moldova,1978,1994.0,0.9976256217,0.9976256217,0.6574735045433043,0.6574735045433043,0.06204375829361364,0.06204375829361364,44,16.0,0.06235160135625,0.04109209403395652,0.0038777348933508524,0.02267330958409091,0.014942579648711462,0.0014100854157639462
113,MLI,Monaco,1962,,,,,,,,60,60.0,,,,,,
114,MLT,Mongolia,1924,1940.0,0.892444424,0.955205906,0.1062148809432983,0.4691402316093444,0.12427614993237723,0.15288965061429804,98,16.0,0.0557777765,0.006638430058956144,0.007767259370773577,0.009746999040816327,0.004787145220503514,0.0015600984756561024
115,MHL,Montenegro,1905,1992.0,0.84859242,0.8366929,0.6802477836608888,0.6727526783943176,0.11370926262786563,0.1010909685779311,117,87.0,0.009753935862068965,0.007818940042079182,0.0013070030187110992,0.007151221367521367,0.005750022892259125,0.0008640253724609495
116,MRT,Morocco,1962,1970.0,0.45373889999999995,0.52116936,0.0807102844119072,0.317251443862915,0.04193180918883799,0.14965654103832216,60,8.0,0.05671736249999999,0.0100887855514884,0.005241476148604748,0.008686156,0.0052875240643819165,0.002494275683972036
117,MUS,Mozambique,1975,1990.0,0.27595294000000004,0.84001017,0.1351608335971832,0.2380838394165039,0.15275468700116268,0.22889705320534326,47,15.0,0.01839686266666667,0.009010722239812214,0.010183645800077513,0.017872556808510638,0.0050656136046064665,0.004870150068198793
118,MEX,Myanmar,1947,1962.0,0.6414186,0.983304482,0.4434519112110138,0.643548846244812,0.3081018992564276,0.10787741173055387,75,15.0,0.04276124,0.02956346074740092,0.020540126617095176,0.013110726426666667,0.00858065128326416,0.0014383654897407183
119,FSM,Namibia,1990,,,,,,,,32,32.0,,,,,,
120,MDA,Nauru,1968,,,,,,,,54,54.0,,,,,,
121,MCO,Nepal,1948,1959.0,0.88603003,0.83509955,0.3083541393280029,0.1302263736724853,0.0915864319926476,0.23072081535598432,74,11.0,0.08054818454545455,0.028032194484363896,0.008326039272058872,0.011285129054054054,0.0017598158604389905,0.0031178488561619503
122,MNG,Netherlands,1795,1815.0,0.98284872,0.98284872,0.5384787321090697,0.5384787321090697,0.32859160325384795,0.32859160325384795,227,20.0,0.049142436,0.026923936605453485,0.016429580162692397,0.004329730044052863,0.00237215300488577,0.0014475401024398589
123,MNE,New zealand,1852,,,,,,,,170,170.0,,,,,,
124,MAR,Nicaragua,1858,1893.0,0.57017142,0.74367234,0.0335810109972953,0.4516475796699523,0.010886710132475219,0.08684611184159419,164,35.0,0.016290612,0.0009594574570655801,0.0003110488609278634,0.00453458743902439,0.0027539486565240994,0.000529549462448745
125,MOZ,Niger,1960,1989.0,0.89508546,0.73904103,0.3248840570449829,0.552291512489319,0.04217074801526055,0.1512387380966288,62,29.0,0.030865015862068964,0.011202898518792513,0.0014541637246641569,0.011920016612903225,0.008907927620795467,0.002439334485429497
126,MMR,Nigeria,1960,1963.0,0.030000899999999997,0.2395039,0.002656290307641,0.1737083494663238,0.0071578551302790006,0.07166519637525637,62,3.0,0.010000299999999998,0.000885430102547,0.0023859517100930003,0.0038629661290322578,0.0028017475720374806,0.0011558902641170383
127,NAM,North Korea,1948,1972.0,0.77503286,0.47612980000000005,0.0337648354470729,0.0509112514555454,0.05273526816059082,0.09127517086761838,74,24.0,0.03229303583333334,0.0014068681436280376,0.0021973028400246175,0.006434186486486487,0.0006879898845343973,0.001233448254967816
128,NRU,Norway,1814,,,,,,,,208,208.0,,,,,,
129,NPL,Oman,1996,,,,,,,,26,26.0,,,,,,
130,NLD,Pakistan,1956,1962.0,0.14577967000000003,0.1445826,0.0118856849148869,0.0022789412178099,0.013156904758496402,0.008969030610436968,66,6.0,0.024296611666666672,0.001980947485814483,0.0021928174597494,0.002190645454545455,3.452941239105909e-05,0.00013589440318843892
131,NZL,Palau,1981,,,,,,,,41,41.0,,,,,,
132,NIC,Panama,1904,1940.0,0.39374864,0.4996174,0.1803748905658721,0.2921099066734314,0.050996769580844425,0.0868737777947648,118,36.0,0.010937462222222222,0.005010413626829781,0.001416576932801234,0.004234045762711865,0.0024755076836731472,0.0007362184558878372
133,NER,Papua New Guinea,1975,,,,,,,,47,47.0,,,,,,
134,NGA,Paraguay,1813,1844.0,0.80957755,0.9216653850000001,0.4164396226406097,0.6909137964248657,0.275620743719025,0.5029965022166588,209,31.0,0.026115404838709676,0.013433536214213216,0.008890991732871775,0.004409882224880383,0.0033058076383964867,0.0024066818287878412
135,PRK,Peru,1822,1823.0,0.55195415,0.8385531900000001,0.1662310063838958,0.5333312749862672,0.3867030993338407,0.5232621873354164,200,1.0,0.55195415,0.1662310063838958,0.3867030993338407,0.00419276595,0.002666656374931336,0.002616310936677082
136,NOR,Philippines,1899,1935.0,0.63245398,0.8453361699999999,0.2317194193601608,0.2309267222881317,0.05665845725516361,0.08833055599517758,123,36.0,0.01756816611111111,0.0064366505377822444,0.0015738460348656558,0.006872651788617886,0.0018774530267327782,0.0007181346015868096
