,codes,country,year_1st,year_2nd,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,years_const,years_1st_const,change_1st_2nd_adj_tfidf,change_1st_2nd_adj_lda,change_1st_2nd_adj_use,change_1st_curr_adj_allyears_tfidf,change_1st_curr_adj_allyears_lda,change_1st_curr_adj_allyears_use
0,AFG,Afghanistan,1923,1931.0,0.3536304,0.30351680000000003,0.2402999103069305,0.4021443426609039,0.05512329385488757,0.16696404413283683,99,8.0,0.0442038,0.03003748878836631,0.006890411731860946,0.003065826262626263,0.004062064067281857,0.0016865054962912811
1,ALB,Albania,1925,1928.0,0.5134473399999999,0.63634098,0.1913829445838928,0.6219252347946167,0.08287816714708862,0.10210305916574491,97,3.0,0.1711491133333333,0.0637943148612976,0.027626055715696207,0.006560216288659793,0.006411600358707388,0.0010526088573788136
2,DZA,Algeria,1963,1996.0,0.6509471499999999,0.6509471499999999,0.2881968915462494,0.2881968915462494,0.13296872219689815,0.13296872219689815,59,33.0,0.01972567121212121,0.008733239137765133,0.004029355218087823,0.01103300254237288,0.004884693077055074,0.0022537071558796297
3,AND,Andorra,1993,,,,,,,,29,29.0,,,,,,
4,AGO,Angola,1975,2010.0,0.31744342999999997,0.31744342999999997,0.3267523646354675,0.3267523646354675,0.30541141344115164,0.30541141344115164,47,35.0,0.009069812285714286,0.009335781846727642,0.008726040384032904,0.006754115531914893,0.006952177970967393,0.006498115179598971
5,ATG,Antigua Barbuda,1981,,,,,,,,41,41.0,,,,,,
6,ARG,Argentina,1819,1826.0,0.50548896,0.79430464,0.0633663386106491,0.5376660823822021,0.01458493451459042,0.04393798903843904,203,7.0,0.07221270857142857,0.009052334087235585,0.0020835620735129173,0.003912830738916256,0.0026486013910453307,0.00021644329575585733
7,ARM,Armenia,1995,2005.0,0.06451123999999997,0.37196136,0.0149921989068388,0.1426816135644912,0.03428096971807837,0.0963556535249196,27,10.0,0.006451123999999997,0.00149921989068388,0.0034280969718078367,0.013776346666666668,0.005284504206092266,0.003568727908330355
8,AUS,Australia,1901,,,,,,,,121,121.0,,,,,,
9,AUT,Austria,1920,1934.0,0.33821710000000005,0.33821710000000005,0.0129163982346653,0.0129163982346653,0.048903066903148384,0.048903066903148384,102,14.0,0.02415836428571429,0.0009225998739046643,0.003493076207367742,0.003315853921568628,0.00012663135524181666,0.0004794418323838077
10,AUT,Azerbaijan,1991,1995.0,0.07052709999999995,0.06490505000000002,0.1688254177570343,0.1691750288009643,0.2212169311922415,0.2184261661046515,31,4.0,0.01763177499999999,0.042206354439258575,0.055304232798060377,0.0020937112903225813,0.005457258993579493,0.007046005358214564
11,AZE,Bahamas,1973,,,,,,,,49,49.0,,,,,,
12,DEU-BW,Bahrain,1973,2002.0,0.88414273,0.88414273,0.2223605215549468,0.2223605215549468,0.05750339107525915,0.05750339107525915,49,29.0,0.030487680344827586,0.007667604191549889,0.001982875554319281,0.01804372918367347,0.004537969827651975,0.0011735385933726358
13,BHS,Bangladesh,1972,,,,,,,,50,50.0,,,,,,
14,BHR,Barbados,1966,,,,,,,,56,56.0,,,,,,
15,BGD,Belarus,1994,,,,,,,,28,28.0,,,,,,
16,BRB,Belgium,1831,,,,,,,,191,191.0,,,,,,
17,DEU-BY,Belize,1981,,,,,,,,41,41.0,,,,,,
18,BLR,Benin,1964,1970.0,0.4622798,0.91531633,0.109616681933403,0.3356710076332093,0.17009688304574977,0.06045488795279297,58,6.0,0.07704663333333334,0.0182694469889005,0.028349480507624963,0.01578131603448276,0.0057874311660898155,0.0010423256543584994
19,BEL,Bhutan,1953,2008.0,0.7390057400000001,0.7390057400000001,0.3362272381782531,0.3362272381782531,0.42081452759073834,0.42081452759073834,69,55.0,0.013436468000000002,0.006113222512331875,0.007651173228922515,0.01071022811594203,0.004872858524322509,0.006098761269430991
20,BLZ,Bolivia,1826,1831.0,0.43670359999999997,0.859233,0.0308669097721576,0.6929326057434083,0.006509150755104831,0.2543014484931583,196,5.0,0.08734072,0.00617338195443152,0.0013018301510209663,0.004383841836734694,0.003535370437466369,0.0012974563698630525
21,BEN,BosniaAndHerzegovina,1995,,,,,,,,27,27.0,,,,,,
22,BTN,Botswana,1966,,,,,,,,56,56.0,,,,,,
23,BOL,Brazil,1824,1891.0,0.88686242,0.9039943500000001,0.2090587615966797,0.6555095911026001,0.058620367778417615,0.3015444523113866,198,67.0,0.013236752537313434,0.00312028002383104,0.000874930862364442,0.0045656280303030304,0.003310654500518182,0.0015229517793504373
24,BIH,Bulgaria,1947,1971.0,0.46666193,0.4860816,0.1624436974525451,0.4843059778213501,0.04643947126270398,0.07318119922901622,75,24.0,0.019444247083333335,0.006768487393856046,0.0019349779692793324,0.006481088,0.006457413037618001,0.0009757493230535497
25,BWA,Burkina Faso,1960,1988.0,0.923805736,0.943213657,0.6926256418228148,0.4438261985778808,0.23001554489984022,0.11402864259473788,62,28.0,0.032993062000000004,0.024736630065100528,0.008214840889280008,0.0152131235,0.007158487073836787,0.0018391716547538368
26,BRA,Burundi,1962,1974.0,0.4183696,0.80901259,0.2879287302494049,0.5252389311790466,0.10679735540596835,0.19198231492289397,60,12.0,0.03486413333333333,0.023994060854117077,0.00889977961716403,0.013483543166666667,0.008753982186317445,0.0031997052487148995
27,BGR,Cambodia,1947,1972.0,0.88909649,0.69873276,0.2531999349594116,0.3119691610336303,0.06916978539258556,0.12160394612954684,75,25.0,0.0355638596,0.010127997398376465,0.0027667914157034224,0.0093164368,0.004159588813781738,0.001621385948393958
28,BFA,Cameroon,1960,1961.0,0.90364835,0.98410011,0.6426135897636414,0.6291453242301941,0.300576584180148,0.2929393088384198,62,1.0,0.90364835,0.6426135897636414,0.300576584180148,0.01587258241935484,0.010147505229519259,0.004724827561909997
29,BDI,Canada,1791,1867.0,0.7233182,0.7411213999999999,0.2201969623565673,0.2872077226638794,0.08352512198706197,0.1285695809563987,231,76.0,0.009517344736842105,0.002897328452060096,0.0010990147629876574,0.0032083177489177486,0.0012433234747354087,0.0005565782725385225
30,KHM,Cape Verde,1980,,,,,,,,42,42.0,,,,,,
31,CMR,Central African Republic,1981,1994.0,0.5290490400000001,0.900729485,0.1092799752950668,0.2786929607391357,0.04049405854217236,0.08802398684896484,41,13.0,0.04069608000000001,0.00840615194577437,0.003114927580167105,0.021969011829268293,0.006797389286320382,0.0021469265085113376
32,CAN,Chad,1960,1962.0,0.47599139999999995,0.64990658,0.1551947295665741,0.2068896293640136,0.02928414476563701,0.11134987805474783,62,2.0,0.23799569999999998,0.07759736478328705,0.014642072382818505,0.010482364193548387,0.0033369295058711867,0.0017959657750765779
33,CPV,Chile,1823,1828.0,0.78720751,0.90006664,0.0876106768846512,0.5425617098808289,0.07768014817193158,0.08009136415263962,199,5.0,0.157441502,0.017522135376930238,0.015536029634386318,0.004522947939698493,0.0027264407531699944,0.000402469166596179
34,Caribbean charter,China,1914,1923.0,0.974659728,0.990213237,0.2738676369190216,0.638887882232666,0.18026564140709345,0.31433921958679667,108,9.0,0.10829552533333334,0.030429737435446844,0.020029515711899273,0.009168641083333333,0.005915628539191352,0.0029105483295073765
35,CAF,Colombia,1811,1830.0,0.85474819,0.88306857,0.2511900663375854,0.5095213055610657,0.06881881151530878,0.26697449600241996,211,19.0,0.04498674684210526,0.013220529807241336,0.003622042711332041,0.004185159099526067,0.002414792917351022,0.0012652819715754501
