,codes,country,year_1st,year_2nd,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,years_const,years_1st_const,change_1st_2nd_adj_tfidf,change_1st_2nd_adj_lda,change_1st_2nd_adj_use,change_1st_curr_adj_allyears_tfidf,change_1st_curr_adj_allyears_lda,change_1st_curr_adj_allyears_use,1870_ahdi,1880_ahdi,1890_ahdi,1900_ahdi,1913_ahdi,1925_ahdi,1929_ahdi,1933_ahdi,1938_ahdi,1950_ahdi,1955_ahdi,1960_ahdi,1965_ahdi,1970_ahdi,1975_ahdi,1980_ahdi,1985_ahdi,1990_ahdi,1995_ahdi,2000_ahdi,2005_ahdi,2007_ahdi,2010_ahdi,2015_ahdi
20,BLZ,Bolivia,1826,1831.0,0.43670359999999997,0.859233,0.1756898112360465,0.8324257358728214,0.006509150755104831,0.2543014484931583,196,5.0,0.08734072,0.035137962247209296,0.0013018301510209663,0.004383841836734694,0.0042470700809837825,0.0012974563698630525,,,,,,,,,,0.27129759479269,0.30683646860834835,0.32055965509893286,0.34114046949466237,0.3418280610398335,0.35898271531200543,0.38592425842566375,0.39986965717481276,0.43726784303382066,0.47175989356503595,0.5123501523457774,0.5469572630904066,0.5741271823276298,0.578814691090775,0.519456679772548
21,BEN,BosniaAndHerzegovina,1995,,,,,,,,27,27.0,,,,,,,0.02013578386041441,0.019969778807215136,0.021411209138078376,0.0317057597809692,0.03881402061977802,0.03161402884762697,0.04181983379839627,0.042145571223530014,0.04506050377252649,0.051543158805546545,0.06392028115511118,0.08778427641099064,0.08630371708712417,0.0910076846269677,0.09230141525171971,0.10816506542959277,0.12067136427912638,0.15460922426731624,0.21877869207224768,0.22900474858440475,0.25088622206428907,0.2663171645659971,0.2689069031561022,0.27536733354275145
22,BTN,Botswana,1966,,,,,,,,56,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BOL,Brazil,1824,1891.0,0.88686242,0.9039943500000001,0.4572294408682359,0.8096354680364491,0.058620367778417615,0.3015444523113866,198,67.0,0.013236752537313434,0.006824320012958745,0.000874930862364442,0.0045656280303030304,0.004089068020386106,0.0015229517793504373,0.04113585631725994,0.05392681814277879,0.06030456353535661,0.06805705420740636,0.08907304128896407,0.1093330536299527,0.1144462815174042,0.11385057840857049,0.11705117155787363,0.13436709674276742,0.1443902894352453,0.15334192070976083,0.12655648096917227,0.12561990640440973,0.1209934493664779,0.1516167545583259,0.2821797314108535,0.32891027414648744,0.35593643966339644,0.3741142939702786,0.38765019433475734,0.37618817666186316,0.3903653658065838,0.39369305338361277
24,BIH,Bulgaria,1947,1971.0,0.46666193,0.4860816,0.4030430466495423,0.6959209565901505,0.04643947126270398,0.07318119922901622,75,24.0,0.019444247083333335,0.016793460277064264,0.0019349779692793324,0.006481088,0.009278946087868674,0.0009757493230535497,,,,,,,,,,,,,,,,,,,,,,,,
25,BWA,Burkina Faso,1960,1988.0,0.923805736,0.943213657,0.8322413362858245,0.6662028209020739,0.23001554489984022,0.11402864259473788,62,28.0,0.032993062000000004,0.029722904867350877,0.008214840889280008,0.0152131235,0.010745206788743128,0.0018391716547538368,0.01705305876727034,0.01705305876727034,0.020552397591062768,0.04111730263074875,0.05389954327254323,0.056282882628111604,0.056726151850834204,0.05977971026489404,0.06440303477251509,0.08043536983412578,0.08955817665598602,0.09813502264899118,0.12856006582726723,0.19404567209167756,0.23315903325541046,0.26342760339998106,0.329787435569001,0.38355332681654314,0.39669548630863816,0.37188191796814796,0.3895972710284076,0.3867577223419674,0.4104495077285784,0.4429915177091005
26,BRA,Burundi,1962,1974.0,0.4183696,0.80901259,0.5365899088218161,0.724733696732149,0.10679735540596835,0.19198231492289397,60,12.0,0.03486413333333333,0.04471582573515134,0.00889977961716403,0.013483543166666667,0.012078894945535818,0.0031997052487148995,0.06057862995508532,0.06390511729246699,0.06468015555655963,0.07302232843849205,0.0840432700217642,0.0942240550428226,0.09947110046814611,0.09635329731765299,0.09443341659473209,0.188007691984898,0.20403633967991147,0.21948590485660455,0.1656384090694194,0.1768518141952644,0.1907265251798654,0.2385103634292996,0.2923477649124425,0.4133776097378928,0.4304223622365606,0.45698247861543523,0.4808147725810988,0.46213348030969,0.500476108506061,0.5013400670367963
27,BGR,Cambodia,1947,1972.0,0.88909649,0.69873276,0.5031897603880783,0.5585419957654306,0.06916978539258556,0.12160394612954684,75,25.0,0.0355638596,0.02012759041552313,0.0027667914157034224,0.0093164368,0.007447226610205741,0.001621385948393958,0.09323748867469098,0.12260682918931262,0.11833714804160506,0.14674862390088683,0.17260382576761776,0.17357678769015528,0.18499372526122207,0.20144722969972428,0.18055323891959038,0.18268959596438492,0.20240901064727615,0.22640941834506575,0.24220149926314427,0.2503130058440369,0.25887793441641754,0.266844121121356,0.2692059465294895,0.4117601881644111,0.4896559205832474,0.5121282502760601,0.544333927427747,0.5226461369715192,0.5548831240815182,0.5508782780226509
28,BFA,Cameroon,1960,1961.0,0.90364835,0.98410011,0.8016318293104643,0.7931868154666932,0.300576584180148,0.2929393088384198,62,1.0,0.90364835,0.8016318293104643,0.300576584180148,0.01587258241935484,0.012793335733333761,0.004724827561909997,0.018193060988038467,0.018053969306762115,0.01811626271996432,0.018233717159320678,0.02090730802858992,0.03514427500063909,0.035695856419078055,0.035115929230855325,0.03821748835980752,0.04584612638772696,0.049582106441093024,0.05622399419632372,0.06023406869193314,0.05387826596461376,0.06111168428997136,0.06854788239894839,0.07976855108038851,0.08359652065961312,0.12406927093594945,0.14773698508242616,0.16033779184073424,0.16828571680148074,0.177261637643726,0.18361672662759493
29,BDI,Canada,1791,1867.0,0.7233182,0.7411213999999999,0.4692514915869393,0.5359176454119414,0.08352512198706197,0.1285695809563987,231,76.0,0.009517344736842105,0.006174361731407096,0.0010990147629876574,0.0032083177489177486,0.0023199898069781013,0.0005565782725385225,0.01705305876727034,0.01705305876727034,0.01705305876727034,0.01705305876727034,0.021025379505423627,0.03284725434123235,0.039234168267571874,0.04238751586443891,0.04315919817708477,0.05469294931237287,0.061043290616594574,0.06856395631979673,0.08589789510851044,0.0802591391615964,0.08450184070209299,0.09540612277503194,0.11337819438699998,0.10128295874757784,0.12509362295300552,0.13233157979725368,0.14010621130308562,0.1511967228218891,0.1526595026761772,0.12928026780158286
30,KHM,Cape Verde,1980,,,,,,,,42,42.0,,,,,,,0.029095802880686288,0.028892147977977668,0.02379993516267938,0.027007221131025324,0.03270245085879802,0.03254287291409612,0.04547535122147506,0.048828997915304234,0.059838094816679656,0.1075439976667824,0.1315344952882598,0.1590811579406007,0.16427087672893156,0.1373426938800568,0.07205421227001549,0.10306227702645966,0.12622707796809046,0.13710183826261102,0.21626493686472134,0.2134244108484576,0.22062691680789337,0.202564853690583,0.2388445000319917,0.255786609942985
31,CMR,Central African Republic,1981,1994.0,0.5290490400000001,0.900729485,0.3305752188157286,0.5279137815393113,0.04049405854217236,0.08802398684896484,41,13.0,0.04069608000000001,0.025428862985825276,0.003114927580167105,0.021969011829268293,0.012875945891202716,0.0021469265085113376,0.0190282558781711,0.019255776395794226,0.018933204287901625,0.019671964515190616,0.02150048372441395,0.025951642122859216,0.026635449479559443,0.029356082007755385,0.03812540890981759,0.06698198665597427,0.08027718030043676,0.08684354691013954,0.09940189948376414,0.10804046286386954,0.12114956725033604,0.1375654483809689,0.16672398790074724,0.18326786584310178,0.18824721879512532,0.19572922339611692,0.19874614507885063,0.20513262856714576,0.21244991051234993,0.2223902871558074
32,CAN,Chad,1960,1962.0,0.47599139999999995,0.64990658,0.3939476228720946,0.454851216733575,0.02928414476563701,0.11134987805474783,62,2.0,0.23799569999999998,0.1969738114360473,0.014642072382818505,0.010482364193548387,0.007336309947315726,0.0017959657750765779,0.2453391820991769,0.2715635908877882,0.28647331796090425,0.3361631188642691,0.3708420321196596,0.4110372843583572,0.41091930888566985,0.4242718474567144,0.44177652065270084,0.48858524060526487,0.5025858625594029,0.5216596399457561,0.5370821531094627,0.5576461893297328,0.5912845018122161,0.6200407082660236,0.6395808260667143,0.6871596828643866,0.7169862065095136,0.7462984887925536,0.7882637282013392,0.7495534674976159,0.793005960934285,0.8101178367464141
33,CPV,Chile,1823,1828.0,0.78720751,0.90006664,0.2959910081145223,0.7365878833383216,0.07768014817193158,0.08009136415263962,199,5.0,0.157441502,0.059198201622904456,0.015536029634386318,0.004522947939698493,0.0037014466499413145,0.000402469166596179,,,,,,,,,,,,,,,,,,,,,,,,
34,Caribbean charter,China,1914,1923.0,0.974659728,0.990213237,0.523323644525089,0.7993046241782078,0.18026564140709345,0.31433921958679667,108,9.0,0.10829552533333334,0.058147071613898774,0.020029515711899273,0.009168641083333333,0.007400968742390813,0.0029105483295073765,,,,,,,,,,,,,,,,,,,,,,,,
35,CAF,Colombia,1811,1830.0,0.85474819,0.88306857,0.5011886534405836,0.7138076110276954,0.06881881151530878,0.26697449600241996,211,19.0,0.04498674684210526,0.026378350181083348,0.003622042711332041,0.004185159099526067,0.0033829744598468975,0.0012652819715754501,0.019464641799594493,0.019351378784677718,0.01940202732336528,0.0194978655223555,0.01947357632766935,0.026688005176350966,0.02665798628771331,0.026900323700714487,0.03911911964792649,0.06882255058936033,0.07535075617498431,0.0763912436094513,0.08450425519987009,0.07070016195775951,0.07488005595367571,0.10448320389335995,0.10952260466131365,0.1312036983101707,0.15588240040487536,0.15806555915480305,0.15067924573925867,0.1562595777482281,0.15849384582219897,0.16099174026144744
36,TCD,Comoros,1996,2001.0,0.62037304,0.62037304,0.3340164079975937,0.3340164079975937,0.12190675634187309,0.12190675634187309,26,5.0,0.124074608,0.06680328159951873,0.024381351268374617,0.02386050153846154,0.012846784922984373,0.00468872139776435,0.018092004582131022,0.017950532056385773,0.018013900975146015,0.01813334273442761,0.01810312828283462,0.022608702096803313,0.025153385050003654,0.02522810544442598,0.027346933060751658,0.03941012085912279,0.04133864042019277,0.04689356329603515,0.05453210168489074,0.06243379758138196,0.06174380769045431,0.060329704631758685,0.06440057845333341,0.07268447816363775,0.08610302410833262,0.09454929808812382,0.10361369792220569,0.11329527004559498,0.11630592765635729,0.14426661798660115
37,CHL,Congo,1963,1979.0,0.568095,0.6301108,0.5362755423911698,0.6180459342045737,0.03228650011629097,0.058956864413594046,59,16.0,0.0355059375,0.03351722139944811,0.002017906257268186,0.01067984406779661,0.010475354817026673,0.0009992688883660008,0.08057638778332439,0.08552807883879204,0.10646773351159539,0.11872543276717508,0.13638043255449747,0.14032894251412237,0.1452302416384513,0.19232660712223965,0.20941296100366205,0.27392384483627336,0.2762171792813539,0.3112584421135499,0.33628027139459993,0.3569620921550149,0.2114068977093809,0.23829291586637705,0.26769324513273196,0.48886089562120644,0.5619380979169726,0.5989913583246079,0.6240546298892832,0.6044392781979577,0.6352287661145677,0.6624662586139639
38,CHN,Costa Rica,1848,1871.0,0.6806353,0.28789425,0.2619140807058625,0.6030793325894068,0.023207804200843563,0.09255042758723242,174,23.0,0.029592839130434784,0.011387568726341847,0.0010090349652540679,0.0016545646551724138,0.0034659731758011885,0.0005318990091220254,0.04014554551893061,0.04077212154308521,0.04061509738096758,0.041293420448997274,0.05633538787709778,0.04915948850435329,0.06721049451058515,0.07395660564647692,0.07578475985396506,0.06774472095522759,0.08359597637022032,0.0766132315417635,0.10754820728638981,0.11685652419199691,0.1250196251089205,0.16486416252729508,0.1788496832209351,0.185458598666159,0.21226773874422844,0.22882088860233002,0.24501207591386714,0.2515859817625551,0.2682893240688569,0.250463871714603
39,COL,Croatia,1991,,,,,,,,31,31.0,,,,,,,0.06396172964555168,0.07311772508976376,0.07548194699387069,0.06930745959832303,0.10173886536463911,0.1299023980352329,0.13730613389161064,0.14535746545136444,0.15411094052100846,0.1423414768996472,0.17184115949118092,0.23248310491159127,0.2431703687745596,0.25581019250185755,0.28432576432772283,0.2967428622989146,0.3227730994889957,0.32847844761361444,0.37654003893239646,0.39049250316809414,0.3813465638807859,0.39941290007066993,0.4286484731677033,0.4474273661104933
40,COM,Cuba,1940,1959.0,0.4191589,0.6378528800000001,0.1974396363040445,0.6627909884993025,0.07420790108687159,0.16069391409183897,82,19.0,0.022060994736842105,0.010391559805476028,0.0039056790045721886,0.007778693658536586,0.008082816932918324,0.001959681879168768,,,,,,,,,,,,,,,,,,,,,,,,
41,COG,Cyprus,1960,,,,,,,,62,62.0,,,,,,,0.01991799744003503,0.019764432011426077,0.01983522765048389,0.030285838630499023,0.03748992024374879,0.03724240964637806,0.036185597690864414,0.04344766609810778,0.05275790384863695,0.08943958652396711,0.09908347153587346,0.1218167142769337,0.11620769659976327,0.09198845698349001,0.11722526569704457,0.1418257200787592,0.1543762242760779,0.18782630635844078,0.2665794601658465,0.18152465067209522,0.19892685929279827,0.19591941003960595,0.19697669795782768,0.23020974423994275
42,CRI,Czech Republic,1993,,,,,,,,29,29.0,,,,,,,,,,,0.13404395743458167,0.1555158640744588,0.16129898414374588,0.16968851739776392,0.18273311818043456,0.2555715759002313,0.2972830167734275,0.3090065520644591,0.33106933824119805,0.33957224083511023,0.3779083803491131,0.4111658266203892,0.4345413955508189,0.46201964878812346,0.48711830053549793,0.507808436719917,0.5455073101908228,0.5603097130867941,0.5742452420181917,0.5814870214944061
43,HRV,Democratic Republic of the Congo,1964,1967.0,0.968144733,0.39530889999999996,0.4304962004063014,0.4987732769737752,0.13045934251821556,0.013499296129334426,58,3.0,0.322714911,0.14349873346876713,0.043486447506071856,0.006815670689655172,0.008599539258168538,0.00023274648498852458,,,,,,,,,,,,,,,,0.3137240095191946,0.32556612348419556,0.3403161591606529,0.3818925483013831,0.5142595927166427,0.5557939674872896,0.5808275258482822,0.6039228310890356,0.6076524152079604
44,CUB,Denmark,1866,1953.0,0.92321932,0.92321932,0.5883016321873852,0.5883016321873852,0.0685756049556584,0.0685756049556584,156,87.0,0.01061171632183908,0.006762087726291784,0.0007882253443179127,0.005918072564102564,0.0037711643088934946,0.0004395872112542205,0.062099205960720265,0.0676083455272205,0.08200579540311152,0.09146338610175135,0.13389044481973475,0.15983099361328498,0.15758034364478565,0.16012510410306105,0.1825106516627869,0.24480509961545757,0.2080937087156966,0.16646124762342843,0.1610855120241314,0.17010033323774548,0.18645068951851085,0.2033396939332527,0.21689257431793446,0.228213365278735,0.2426714903475675,0.26327827893316585,0.28066976531705884,0.2854614952976434,0.31884283880827224,0.36747603369157034
45,CYP,Djibouti,1977,1992.0,0.6185769999999999,0.6185769999999999,0.4410730471534441,0.4410730471534441,0.2485869338323755,0.2485869338323755,45,15.0,0.04123846666666666,0.029404869810229606,0.0165724622554917,0.013746155555555554,0.009801623270076535,0.0055241540851639,,,,,0.12330675148949322,0.13547515270480226,0.14402268244272956,0.14279172263790874,0.15119784366919894,0.20831167992202332,0.2110901518725585,0.26930199380044084,0.33761285979938077,0.349615762295076,0.3827525091505772,0.4202361054224359,0.4596582659892172,0.4933011242242471,0.5204880335021005,0.5462863911435736,0.5607907674585553,0.5990156144255347,0.6148614131069513,0.6779600054573881
46,CZE,Dominica,1978,,,,,,,,44,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,CSK,Dominican Republic,1821,1858.0,0.91961041,0.897789136,0.3580853916653842,0.717130328789791,0.15414830330685525,0.2460374263798787,201,37.0,0.024854335405405405,0.009677983558523898,0.004166170359644736,0.004466612616915422,0.003567812581043736,0.0012240667979098443,0.15379163814174954,0.15869780848350676,0.16915323445010455,0.18788842205644016,0.21350072836426956,0.3175756712239108,0.3369464365899718,0.3401722212725469,0.3491645739735331,0.2058165324937684,0.2183041265938539,0.254740164466744,0.26881695235176367,0.2529887487033055,0.2635588572793523,0.2801634126947161,0.2933089762275871,0.4484185499010241,0.5709036054767628,0.5926526294047768,0.6198570062491008,0.6890013844760133,0.6445738233949221,0.6788986514162607
48,COD,East Timor,2002,,,,,,,,20,20.0,,,,,,,0.017571054685123395,0.01705305876727034,0.01807403170344745,0.02012271559074352,0.03438931838137194,0.03292894420720451,0.03907324606671159,0.03999800720470807,0.04843217476921696,0.06285127180436814,0.06804163771722486,0.09161636595731865,0.09939937292849674,0.08223835149296665,0.08828196964727393,0.0908132001785841,0.10014704753443611,0.11187025472998365,0.09398594919842655,0.10200569988928347,0.12230018473039536,0.13608939123430633,0.14117627169132732,0.18134326987859417
49,DNK,Ecuador,1830,1869.0,0.92015543,0.5374638,0.514237878907873,0.7819215177363642,0.1051388814595745,0.2965751181906755,192,39.0,0.023593728974358973,0.01318558663866341,0.002695868755373705,0.0027992906250000004,0.004072507904876897,0.0015446620739097683,0.2357089166766137,0.23730958335439964,0.24891412220064424,0.27585733195517437,0.3471105428444337,0.39868494415833794,0.40802330187475483,0.41876058779468217,0.42944449271524127,0.483582741416925,0.5114818218973802,0.5346701382903237,0.5470077984780363,0.5786037096888715,0.5980938072842046,0.6139293058830514,0.6294328338303147,0.6443169786623579,0.664688106849093,0.6955911230431773,0.7232407053611243,0.6886664825167663,0.7241577698056987,0.7711527425993238
