,year,distance_tfidf,distance_lda45,distance_use
year,1.0,0.03607734270520328,0.17071378901607015,0.07360594973864949
distance_tfidf,0.03607734270520328,1.0,0.7679680802526297,0.672967887394499
distance_lda45,0.17071378901607015,0.7679680802526297,1.0,0.6280366880785838
distance_use,0.07360594973864949,0.672967887394499,0.6280366880785838,1.0
