,codes,country,1st_const_year,2nd_const_year,1st_2nd_tfidf,1st_current_tfidf,1st_2nd_lda,1st_current_lda,1st_2nd_use,1st_current_use,1st_2nd_stm,1st_current_stm,constitutional_time,first_regime_time,1st_2nd_tfidf_adj,1st_2nd_lda_adj,1st_2nd_use_adj,1st_2nd_stm_adj,1st_curr_tfidf_adj,1st_curr_lda_adj,1st_curr_use_adj,1st_curr_stm_adj
40,COM,Cuba,1940,1959.0,0.4191589,0.6378528800000001,0.1974396363040445,0.6627909884993025,0.07420790108687159,0.16069391409183897,0.239335592928835,0.6541696115635492,82,19.0,0.022060994736842105,0.010391559805476028,0.0039056790045721886,0.01259661015414921,0.007778693658536586,0.008082816932918324,0.001959681879168768,0.007977678189799381
41,COG,Cyprus,1960,,,,,,,,,,62,62.0,,,,,,,,
42,CRI,Czech Republic,1993,,,,,,,,,,29,29.0,,,,,,,,
43,HRV,Democratic Republic of the Congo,1964,1967.0,0.968144733,0.39530889999999996,0.4304962004063014,0.4987732769737752,0.13045934251821556,0.013499296129334426,0.6537452537611925,0.444858741901974,58,3.0,0.322714911,0.14349873346876713,0.043486447506071856,0.21791508458706418,0.006815670689655172,0.008599539258168538,0.00023274648498852458,0.007669978308654724
44,CUB,Denmark,1866,1953.0,0.92321932,0.92321932,0.5883016321873852,0.5883016321873852,0.0685756049556584,0.0685756049556584,0.4097802848529133,0.4097802848529133,156,87.0,0.01061171632183908,0.006762087726291784,0.0007882253443179127,0.004710118216700153,0.005918072564102564,0.0037711643088934946,0.0004395872112542205,0.0026267966977750854
45,CYP,Djibouti,1977,1992.0,0.6185769999999999,0.6185769999999999,0.4410730471534441,0.4410730471534441,0.2485869338323755,0.2485869338323755,0.2884652440926529,0.2884652440926529,45,15.0,0.04123846666666666,0.029404869810229606,0.0165724622554917,0.019231016272843526,0.013746155555555554,0.009801623270076535,0.0055241540851639,0.006410338757614509
46,CZE,Dominica,1978,,,,,,,,,,44,44.0,,,,,,,,
47,CSK,Dominican Republic,1821,1858.0,0.91961041,0.897789136,0.3580853916653842,0.717130328789791,0.15414830330685525,0.2460374263798787,0.0,0.8301428635302653,201,37.0,0.024854335405405405,0.009677983558523898,0.004166170359644736,0.0,0.004466612616915422,0.003567812581043736,0.0012240667979098443,0.004130063997663012
48,COD,East Timor,2002,,,,,,,,,,20,20.0,,,,,,,,
49,DNK,Ecuador,1830,1869.0,0.92015543,0.5374638,0.514237878907873,0.7819215177363642,0.1051388814595745,0.2965751181906755,0.4357134234047142,0.7237390222380901,192,39.0,0.023593728974358973,0.01318558663866341,0.002695868755373705,0.011172139061659338,0.0027992906250000004,0.004072507904876897,0.0015446620739097683,0.003769474074156719
50,DJI,Egypt,1923,1956.0,0.67867064,0.7908382,0.548310928737294,0.7955455535994578,0.07823799382712315,0.16491743891009336,0.7750710624742156,0.8225388845798219,99,33.0,0.02056577696969697,0.01661548268900891,0.002370848297791611,0.02348700189315805,0.007988264646464648,0.008035813672721796,0.0016658327162635694,0.008308473581614363
51,DMA,El Salvador,1824,1841.0,0.59122336,0.7057173299999999,0.3812717064165759,0.5111833056944656,0.08766076062457995,0.21277711235544505,0.4776146647675586,0.5781691683711179,198,17.0,0.034777844705882355,0.022427747436269168,0.005156515330857644,0.028094980280444624,0.003564228939393939,0.0025817338671437653,0.0010746318805830558,0.0029200463049046358
52,DOM,Equatorial Guinea,1968,1973.0,0.37605345,0.4395766,0.4756206993229406,0.5568103196999213,0.058405414536913836,0.05813516423138598,0.528036609551694,0.4562273142271769,54,5.0,0.07521069,0.09512413986458812,0.011681082907382767,0.1056073219103388,0.008140307407407408,0.01031130221666521,0.0010765771153960367,0.008448653967169942
53,TLS,Eritrea,1997,,,,,,,,,,25,25.0,,,,,,,,
54,ECU,Estonia,1920,1937.0,0.942983896,0.98426032,0.4368599398995548,0.6160921444776427,0.20961234394703698,0.13966905649871086,0.4456513653419309,0.3538483972972984,102,17.0,0.05546964094117647,0.025697643523503223,0.012330137879237469,0.02621478619658417,0.009649610980392156,0.006040119063506301,0.0013693044754775575,0.003469101934287239
55,EGY,Ethiopia,1931,1955.0,0.09106610000000004,0.80230066,0.2395621407852246,0.7864164800222966,0.2737777946359312,0.3380186079292319,0.2434115270962546,0.7723030644717425,91,24.0,0.003794420833333335,0.009981755866051024,0.011407408109830467,0.010142146962343942,0.008816490769230769,0.008641939340904358,0.003714490197024526,0.00848684686232684
56,SLV,Fiji,1970,1990.0,0.10144200000000003,0.18857294000000002,0.2383058566536333,0.7049377386182532,0.006937607520058453,0.022008609707786397,0.281987423684151,0.668564555126037,52,20.0,0.005072100000000001,0.011915292832681664,0.00034688037600292263,0.014099371184207548,0.003626402692307693,0.013556494973427945,0.00042324249438050767,0.012857010675500711
57,GNQ,Finland,1919,1999.0,0.57189354,0.57189354,0.6697153824178694,0.6697153824178694,0.07969810884841044,0.07969810884841044,0.5678395400919026,0.5678395400919026,103,80.0,0.007148669250000001,0.008371442280223369,0.0009962263606051306,0.007097994251148783,0.005552364466019418,0.006502091091435625,0.000773768047071946,0.005513005243610705
58,ERI,France,1791,1793.0,0.70462996,0.94963021,0.3580941719913568,0.7909664185842936,0.21072274013545755,0.15066777446351287,0.311793675492776,0.7793876021200083,231,2.0,0.35231498,0.1790470859956784,0.10536137006772878,0.155896837746388,0.00411095329004329,0.003424097050148457,0.0006522414478939951,0.0033739723035498197
59,EST,Gabon,1961,1975.0,0.4237776,0.4893721,0.3073041140195917,0.4804033684633875,0.010045618370294829,0.04982322841619924,0.1922943757311001,0.3009326255068043,61,14.0,0.03026982857142857,0.021950293858542264,0.0007175441693067734,0.013735312552221435,0.00802249344262295,0.007875465056776844,0.000816774236331135,0.004933321729619742
60,ETH,Gambia,1970,1996.0,0.1200658,0.1200658,0.5963252086910432,0.5963252086910432,0.048659747516943574,0.048659747516943574,0.5350633565305641,0.5350633565305641,52,26.0,0.004617915384615385,0.02293558494965551,0.001871528750651676,0.02057935986656016,0.0023089576923076924,0.011467792474827754,0.000935764375325838,0.01028967993328008
61,FJI,Georgia,1995,,,,,,,,,,27,27.0,,,,,,,,
62,FIN,Germany,1871,1919.0,0.35029745,0.35029745,0.5518588083382516,0.5518588083382516,0.03364362066196702,0.03364362066196702,0.1039359939700892,0.1039359939700892,151,48.0,0.007297863541666667,0.011497058507046909,0.0007009087637909797,0.0021653332077101917,0.002319850662251656,0.003654694094955309,0.00022280543484746372,0.0006883178408615178
63,FRA,Ghana,1954,1957.0,0.54064676,0.92950891,0.0249173549212307,0.7515013291175241,0.029049411784315637,0.18310929656514563,0.2609760041996718,0.8000339689100595,68,3.0,0.18021558666666668,0.008305784973743567,0.009683137261438546,0.0869920013998906,0.013669248676470588,0.011051490134081236,0.0026927837730168474,0.011765205425147933
64,GAB,Great Colombia,1821,,,,,,,,,,201,201.0,,,,,,,,
65,GMB,Greece,1952,1968.0,0.3637351,0.48288034999999996,0.3257882380479333,0.4522115445021984,0.039663475700492,0.09285140850576656,0.1866450784691156,0.393202163954527,70,16.0,0.02273344375,0.02036176487799583,0.00247896723128075,0.011665317404319725,0.0068982907142857135,0.006460164921459978,0.0013264486929395224,0.005617173770778958
66,GEO,Grenada,1974,,,,,,,,,,48,48.0,,,,,,,,
67,DEU-DR,Guatemala,1879,1945.0,0.60956433,0.6386499,0.5384323196029086,0.6007265996197373,0.15380799252370547,0.21520880825033117,0.5712561665938632,0.7633975160268764,143,66.0,0.009235823181818181,0.008158065448528918,0.0023304241291470526,0.008655396463543382,0.004466083216783216,0.004200885312026135,0.001504956701051267,0.005338444168020115
68,DEU,Guinea,1958,1982.0,0.54287258,0.7793272099999999,0.6973360597740736,0.7022314115476659,0.1870910690142915,0.3118616537266323,0.4973295398685413,0.5637417639456636,64,24.0,0.022619690833333334,0.029055669157253067,0.007795461208928813,0.02072206416118922,0.012176987656249999,0.01097236580543228,0.00487283833947863,0.008808465061650993
69,DEU-FR,Guinea Bissau,1973,1984.0,0.56238097,0.31040287,0.3782440967426927,0.5297285902351461,0.18064799616877902,0.22168167545358886,0.2525204353926464,0.3646287390201402,49,11.0,0.051125542727272724,0.03438582697660843,0.01642254510625264,0.02295640321751331,0.006334752448979592,0.010810787555819308,0.004524115825583446,0.007441402837145719
70,DEU-PRU,Guyana,1966,1970.0,0.08149784999999998,0.08384097000000001,0.2127311354105742,0.2247946762653031,0.016569125987919597,0.03330747769478637,0.3675435337045274,0.3902892155964516,56,4.0,0.020374462499999996,0.05318278385264355,0.004142281496979899,0.09188588342613185,0.001497160178571429,0.004014190647594698,0.0005947763874068994,0.006969450278508064
71,GHA,Haiti,1801,1805.0,0.95103436,0.96477796,0.596134817326137,0.6442093941441482,0.10950395139256308,0.21983495894891036,0.7088489924616366,0.7477098097557849,221,4.0,0.23775859,0.14903370433153426,0.02737598784814077,0.17721224811540914,0.00436551113122172,0.0029149746341364173,0.0009947283210357935,0.003383302306587262
72,GCOL,Honduras,1839,1848.0,0.5500492,0.80307397,0.1865814478276189,0.6974225548849534,0.025049385323883233,0.16405236472899976,0.1795426931768912,0.7471085341332077,183,9.0,0.06111657777777778,0.020731271980846545,0.002783265035987026,0.01994918813076569,0.004388382349726776,0.0038110522124860844,0.0008964610094480861,0.004082560295809878
73,GRC,Hungary,1919,1920.0,0.907096975,0.911057904,0.7773782540336206,0.7005701910354478,0.21583030060393982,0.18755621869294137,0.7744447283143141,0.8109472080283622,103,1.0,0.907096975,0.7773782540336206,0.21583030060393982,0.7744447283143141,0.00884522236893204,0.0068016523401499785,0.001820934162067392,0.00787327386435303
74,GRD,Iceland,1874,1920.0,0.922653206,0.11145126999999999,0.4250903342116153,0.5267402303701273,0.03388289082381757,0.07845416700177199,0.286925860632902,0.4330699401384672,148,46.0,0.02005767839130435,0.009241094221991637,0.0007365845831264689,0.006237518709410913,0.0007530491216216215,0.003559055610608968,0.0005300957229849458,0.0029261482441788325
75,GTM,India,1949,,,,,,,,,,73,73.0,,,,,,,,
76,GIN,Indonesia,1945,2002.0,0.71704903,0.71704903,0.6786587482393588,0.6786587482393588,0.19458490456913602,0.19458490456913602,0.3957574641460813,0.3957574641460813,77,57.0,0.012579807543859648,0.01190629382876068,0.0034137702555988776,0.0069431134060716024,0.009312325064935064,0.00881374997713453,0.002527076682716052,0.005139707326572485
77,GNB,Iran,1906,1979.0,0.962688424,0.962688424,0.7398105907965019,0.7398105907965019,0.30092661054330305,0.30092661054330305,0.637183701213513,0.637183701213513,116,73.0,0.013187512657534246,0.010134391654746602,0.004122282336209631,0.008728543852239904,0.008299038137931035,0.006377677506866396,0.0025941949184767506,0.005492962941495801
78,GUY,Iraq,1925,2005.0,0.37264090000000005,0.37264090000000005,0.733563603928421,0.733563603928421,0.08871265424481345,0.08871265424481345,0.7170542338053906,0.7170542338053906,97,80.0,0.004658011250000001,0.009169545049105263,0.0011089081780601682,0.008963177922567383,0.0038416587628865985,0.007562511380705371,0.0009145634458228191,0.007392311688715366
79,HTI,Ireland,1922,1937.0,0.19384120000000005,0.19384120000000005,0.4712997391049063,0.4712997391049063,0.06430215029366704,0.06430215029366704,0.4213127210554021,0.4213127210554021,100,15.0,0.01292274666666667,0.03141998260699375,0.004286810019577802,0.028087514737026805,0.0019384120000000005,0.004712997391049063,0.0006430215029366704,0.004213127210554021
80,HND,Israel,1958,,,,,,,,,,64,64.0,,,,,,,,
81,HUN,Italy,1848,1947.0,0.6892141700000001,0.6892141700000001,0.6413175282234278,0.6413175282234278,0.16672443676035054,0.16672443676035054,0.6248335620728244,0.6248335620728244,174,99.0,0.006961759292929293,0.0064779548305396745,0.0016840852198015206,0.006311450121947721,0.003961000977011494,0.0036857329208242976,0.0009581864181629342,0.0035909974831771514
82,ISL,Jamaica,1962,,,,,,,,,,60,60.0,,,,,,,,
83,IND,Japan,1889,1946.0,0.5245953999999999,0.5245953999999999,0.4181695081631505,0.4181695081631505,0.11767798307345256,0.11767798307345256,0.5253482197380424,0.5253482197380424,133,57.0,0.009203428070175438,0.007336307160757027,0.0020645260188325012,0.009216635434000742,0.003944326315789473,0.00314413164032444,0.000884796865213929,0.003949986614571747
84,IDN,Jordan,1946,1952.0,0.41410440000000004,0.41410440000000004,0.2938734454637541,0.2938734454637541,0.052688430627105154,0.052688430627105154,0.4101811635016479,0.4101811635016479,76,6.0,0.0690174,0.04897890757729235,0.008781405104517526,0.06836352725027466,0.005448742105263159,0.0038667558613651857,0.0006932688240408573,0.005397120572390104
85,IRN,Kazakhstan,1995,,,,,,,,,,27,27.0,,,,,,,,
86,IRQ,Kenya,1963,2010.0,0.28535383999999997,0.28535383999999997,0.8112244864450219,0.8112244864450219,0.0406062309191334,0.0406062309191334,0.5975314004966898,0.5975314004966898,59,47.0,0.006071358297872339,0.01726009545627706,0.0008639623599815617,0.01271343405312106,0.004836505762711864,0.013749567566864778,0.0006882412020192102,0.0101276508558761
87,IRL,Kiribati,1979,,,,,,,,,,43,43.0,,,,,,,,
88,ISR,Kosovo,2008,,,,,,,,,,14,14.0,,,,,,,,
89,ITA,Kuwait,1962,,,,,,,,,,60,60.0,,,,,,,,
90,JAM,Kyrgyz,1993,2007.0,0.6396885999999999,0.5803682800000001,0.2638094084169248,0.3249445684551628,0.04624437608064402,0.03777720226497161,0.3247114977210592,0.3050056990588273,29,14.0,0.04569204285714285,0.018843529172637485,0.0033031697200460015,0.023193678408647084,0.02001269931034483,0.011204985119143545,0.0013026621470679865,0.010517437898580251
91,JPN,Laos,1947,1991.0,0.976940108,0.976940108,0.7268000388750603,0.7268000388750603,0.16342441860642964,0.16342441860642964,0.7646634819108346,0.7646634819108346,75,44.0,0.022203184272727272,0.016518182701705915,0.00371419133196431,0.017378715497973513,0.013025868106666666,0.009690667185000805,0.0021789922480857284,0.01019551309214446
92,JOR,Latvia,1919,1922.0,0.94884168,0.7937563400000001,0.6986585109507066,0.6994974017991409,0.26251183466186234,0.2958207156903023,0.6251265282579764,0.6273676225822993,103,3.0,0.31628056,0.2328861703169022,0.08750394488728745,0.20837550941932548,0.007706372233009709,0.006791236910671271,0.0028720457834009935,0.006090947792061158
93,KAZ,Lebanon,1926,,,,,,,,,,96,96.0,,,,,,,,
94,KEN,Lesotho,1966,1983.0,0.11407420000000001,0.060500600000000015,0.2340349591684946,0.1423339058563382,0.18923828353610994,0.004723398218228758,0.2544696465608276,0.0870930417351016,56,17.0,0.00671024705882353,0.013766762304029094,0.011131663737418232,0.014968802738872211,0.0010803678571428574,0.0025416768902917536,8.434639675408497e-05,0.0015552328881268142
95,KIR,Liberia,1847,1986.0,0.32672009999999996,0.32672009999999996,0.5606518690289876,0.5606518690289876,0.12101164189521729,0.12101164189521729,0.3843219451241975,0.3843219451241975,175,139.0,0.002350504316546762,0.004033466683661781,0.0008705873517641532,0.002764906080030198,0.0018669719999999997,0.003203724965879929,0.0006914950965440989,0.0021961254007097
96,KOS,Libya,1951,2011.0,0.63173658,0.63173658,0.7195898208222641,0.7195898208222641,0.18744182560767364,0.18744182560767364,0.6514591490582016,0.6514591490582016,71,60.0,0.010528943,0.011993163680371068,0.0031240304267945605,0.01085765248430336,0.008897698309859155,0.010135067898905128,0.002640025712784136,0.009175480972650727
97,KWT,Liechtenstein,1818,1921.0,0.9026808,0.9026808,0.669477398730905,0.669477398730905,0.3070696312706366,0.3070696312706366,0.6140107874954946,0.6140107874954946,204,103.0,0.008763891262135922,0.0064997805702029605,0.002981258556025598,0.005961269781509656,0.0044249058823529405,0.0032817519545632595,0.0015052432905423361,0.003009856801448503
98,KGZ,Lithuania,1922,1928.0,0.04367113,0.07049835000000004,0.2605639645120589,0.3718328444044375,0.027023687184543177,0.11356243062991966,0.0919301752053965,0.1905146018481434,100,6.0,0.007278521666666667,0.04342732741867648,0.0045039478640905295,0.015321695867566083,0.0007049835000000005,0.003718328444044375,0.0011356243062991967,0.001905146018481434
99,LAO,Luxembourg,1868,,,,,,,,,,154,154.0,,,,,,,,
100,LVA,Macedonia,1991,,,,,,,,,,31,31.0,,,,,,,,
101,LBN,Madagascar,1975,1992.0,0.65314624,0.6588710799999999,0.3402707169193782,0.5014832074481134,0.03079593473387976,0.07296439477836203,0.4017216006634642,0.6068821119967726,47,17.0,0.038420367058823526,0.020015924524669305,0.0018115255725811624,0.023630682391968482,0.014018533617021276,0.010669855477619433,0.0015524339314545112,0.01291238536163346
102,LSO,Malawi,1964,1966.0,0.16220415,0.18620610000000004,0.3433643909213828,0.6878630373186827,0.06391370890433878,0.051143768629027586,0.4871170365074708,0.6087485508812166,58,2.0,0.081102075,0.1716821954606914,0.03195685445216939,0.2435585182537354,0.0032104500000000005,0.011859707539977287,0.0008817891142935791,0.010495664670365803
103,LBR,Malaysia,1957,,,,,,,,,,65,65.0,,,,,,,,
104,LBY,Maldives,1998,2008.0,0.02017329999999995,0.02017329999999995,0.2783459032574379,0.2783459032574379,0.06621285386104359,0.06621285386104359,0.3240621720462449,0.3240621720462449,24,10.0,0.002017329999999995,0.027834590325743792,0.006621285386104359,0.032406217204624485,0.0008405541666666646,0.011597745969059913,0.002758868910876816,0.01350259050192687
105,LIE,Mali,1969,1974.0,0.3211446,0.5562867,0.1570453903132617,0.2748768389780407,0.04717669580306638,0.10818869127587194,0.1674803379360419,0.2014834104549055,53,5.0,0.06422892,0.03140907806265234,0.009435339160613277,0.03349606758720838,0.010495975471698114,0.005186355452415863,0.0020412960618089045,0.003801573782168028
106,LTU,Malta,1964,,,,,,,,,,58,58.0,,,,,,,,
