,country,year,distance_tfidf_prime,distance_lda50_prime,distance_use_prime,distance_stm50_prime,distance_tfidf_sequence,distance_lda50_sequence,distance_use_sequence,distance_stm50_sequence
0,Afghanistan,1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Afghanistan,1931,0.37417805000000004,0.4902039476655921,0.05512329385488757,0.1808094633307771,0.37417805194854736,0.4902039476655921,0.05512329385488757,0.1808094633307771
2,Afghanistan,1964,0.75420675,0.6928415433296135,0.18232785615068758,0.2218497420307351,0.7542533874511719,0.5053898462326978,0.12136388222739092,0.2218497420307351
3,Afghanistan,1977,0.74467352,0.6907967073496821,0.1654229579777029,0.3784317299014218,0.8657436668872834,0.4710059240661109,0.044959755821125214,0.3784317299014218
4,Afghanistan,1987,0.2910353,0.6895030924815537,0.16203497338694184,0.3616841112597044,0.4787416458129883,0.3419937438755142,0.02883925447151825,0.3616841112597044
5,Afghanistan,1990,0.29536090000000004,0.6907638323955906,0.16131267674390992,0.3581870362009718,0.019068002700805553,0.0518911955224008,0.0010666554803403505,0.3581870362009718
6,Afghanistan,2004,0.32702640000000005,0.6341485178259931,0.16696404413283683,0.3514579609186631,0.1135023832321167,0.3219303120614376,0.020810877744384393,0.3514579609186631
7,Albania,1925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Albania,1928,0.5678114599999999,0.4374733644279304,0.08287816714708862,0.5267450106989382,0.5678114593029022,0.4374733644279304,0.08287816714708862,0.5267450106989382
9,Albania,1939,0.79579364,0.4817110144791852,0.2788512704422639,0.5232538365040689,0.5205915868282318,0.3923760648520349,0.26861826120859833,0.5232538365040689
10,Albania,1946,0.67398733,0.5089265194710497,0.07704629644298444,0.6789351561541868,0.8541816771030426,0.4981875052776918,0.2394301385683577,0.6789351561541868
11,Albania,1976,0.8200042,0.8179101553172087,0.10120983229213731,0.8157146904322947,0.47088420391082764,0.4463411964333309,0.0718630223020964,0.8157146904322947
12,Albania,1998,0.68041515,0.7886223651372162,0.10210305916574491,0.7516435777685512,0.46432214975357056,0.6380719741774057,0.11559022060466129,0.7516435777685512
13,Algeria,1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Algeria,1996,0.6501497,0.5368397261252649,0.13296872219689815,0.4839080208273268,0.6501497030258179,0.5368397261252649,0.13296872219689815,0.4839080208273268
15,Andorra,1993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Angola,1975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Angola,2010,0.3194342,0.5716225718386806,0.30541141344115164,0.489318411248492,0.3194342255592346,0.5716225718386806,0.30541141344115164,0.489318411248492
18,Antigua Barbuda,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Argentina,1819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Argentina,1826,0.5462225,0.2517267141378704,0.01458493451459042,0.2528335502521788,0.5462225079536438,0.2517267141378704,0.01458493451459042,0.2528335502521788
21,Argentina,1853,0.7900434000000001,0.7332571734270331,0.04393798903843904,0.4615407867845563,0.6385187804698944,0.6294806564273867,0.02295386473392602,0.4615407867845563
22,Armenia,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Armenia,2005,0.06148100000000001,0.122442635167816,0.03428096971807837,0.180413680912157,0.06148099899292003,0.122442635167816,0.03428096971807837,0.180413680912157
24,Armenia,2015,0.3716579,0.3777321982099107,0.0963556535249196,0.3529283473145776,0.32038670778274536,0.2966422121991586,0.04973571505331642,0.3529283473145776
25,Australia,1901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Austria,1920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Austria,1934,0.33546184999999995,0.1136503331920562,0.048903066903148384,0.4032904474061725,0.3354618549346924,0.1136503331920562,0.048903066903148384,0.4032904474061725
28,Azerbaijan,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Azerbaijan,1995,0.07052373999999995,0.4108837034454327,0.2212169311922415,0.3042171036422451,0.07052373886108398,0.4108837034454327,0.2212169311922415,0.3042171036422451
30,Azerbaijan,2009,0.06488720000000003,0.4113089213729315,0.2184261661046515,0.3062682625582456,0.05755728483200084,0.0472605663146128,0.0021486472373449805,0.3062682625582456
31,Bahamas,1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Bahrain,1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Bahrain,2002,0.894770525,0.471551186569334,0.05750339107525915,0.3427592014213194,0.8947705253958703,0.471551186569334,0.05750339107525915,0.3427592014213194
34,Bangladesh,1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Barbados,1966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Belarus,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Belgium,1831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Belize,1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Benin,1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Benin,1970,0.4616207,0.3310841009976211,0.17009688304574977,0.2620452422150192,0.4616206884384155,0.3310841009976211,0.17009688304574977,0.2620452422150192
41,Benin,1990,0.914463624,0.5793712174704654,0.06045488795279297,0.3057685692763105,0.9566612243652344,0.4116058889818554,0.23379638178137319,0.3057685692763105
42,Bhutan,1953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
